title,year,mileage,price,location,transmission,enginePower,color,model,engineCapacity,fuelType,painted,changed,paintedCount,changedCount
3. Sahibinden Honda Civic 1.4 S 2000 Model,2000,398.000,325.000 TL,"Tekirdağ, Çerkezköy",Düz,90 hp,Gri (Gümüş),1.4 S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı","Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",8,3
Şimşek İlanda Muayene Yeni,1998,261.000,370.000 TL,"İstanbul, Avcılar",Otomatik,90 hp,Bordo,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk; Ön Tampon; Arka Tampon",,13,0
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,327.000,345.000 TL,"İstanbul, Beykoz",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sağ Arka Kapı; Sağ Ön Kapı; Sol Ön Kapı; Ön Tampon; Arka Tampon","Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",7,3
Sahibinden Honda Civic 1.4 i S 1997 Model,1997,329.000,345.000 TL,"İstanbul, Kartal",Otomatik,90 hp,Kırmızı,1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,418.000,320.000 TL,"Kayseri, Melikgazi",Otomatik,,Yeşil,1.4 i S,,LPG & Benzin,,,0,0
KAZASIz/98 HoNDA CiviC sEDAN GüVeNLik/ izMiRiN BEyaz yaKışıKLısı,1998,405.000,365.000 TL,"İzmir, Kemalpaşa",Otomatik,90 hp,Beyaz,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sağ Ön Çamurluk",Arka Kaput,4,1
PİYASA FİYATİNİN ALTİNDA 
284.000 km
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,283.000,435.000 TL,"İstanbul, Kartal",Otomatik,90 hp,Gri (metalik),1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Motor Kaputu; Ön Tampon; Arka Tampon","Sağ Ön Çamurluk; Sol Ön Çamurluk",9,2
Sahibinden Honda Civic 1.4 Sport 2011 Model,2011,150.000,630.000 TL,"İstanbul, Bahçelievler",Yarı Otomatik,100 hp,Gri,1.4 Sport,1339 cc,Benzin,,,0,0
~Carwin Motors~Honda Civic Sport Otomatik F1 Vites,2010,100.000,652.500 TL,"İstanbul, Beylikdüzü",Otomatik,76 - 100 HP,Gri,1.4 Sport,1201 - 1400 cm3,LPG & Benzin,"Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sol Ön Çamurluk","Sol Arka Çamurluk; Sağ Ön Çamurluk",4,2
SELAMET AUTO' DAN 2009 HONDA CİVİC,2009,310.000,550.000 TL,"Bursa, Osmangazi",Otomatik,101 - 125 HP,Siyah,1.4 Hybrid,1201 - 1400 cm3,Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı","Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",7,3
Galeriden Honda Civic 1.4 i S 1998 Model Gaziantep,1998,320.000,265.000 TL,"Gaziantep, Şehitkamil",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",,10,0
Sahibinden Honda Civic 1.4 i S 1997 Model,1997,300.000,310.000 TL,"Bursa, Yıldırım",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,,0,0
HONDA CIVIC SUNROOFLU KLİMALI DEĞİŞENSİZ K.KARTI GEÇERLİDİR,1997,265.500,313.000 TL,"Bursa, Osmangazi",Düz,76 - 100 HP,Siyah,1.4 S,1401 - 1600 cm3,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",,11,0
KARASU MOTORS'DAN HONDA CIVIC PANEL&SASE&PODYE&KULE BOYASIZ,2000,316.000,339.750 TL,"İstanbul, Avcılar",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Sol Ön Çamurluk",Motor Kaputu,9,1
1996 CIVIC 1.4i S KIRMIZI MANUEL 260.000de EKSTRALI !!!,1996,260.000,295.750 TL,"İstanbul, Zeytinburnu",Düz,90 hp,Kırmızı,1.4 i S,1396 cc,Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Ön Kapı; Tavan; Sol Ön Kapı; Sağ Ön Çamurluk","Motor Kaputu; Sol Ön Çamurluk",7,2
Sahibinden Acil aradığım aracı buldum Honda Civic 1.4 i S 1996 Model,1996,338.000,290.000 TL,"Kocaeli, Gebze",Otomatik,90 hp,Yeşil,1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 1.4i 1996 Model,1996,345.000,260.000 TL,"Ankara, Keçiören",Düz,90 hp,Lacivert,1.4 1.4i,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Ön Tampon; Arka Tampon",Sol Ön Çamurluk,12,1
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,225.000,430.000 TL,"Balıkesir, Edremit",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,Benzin,"Sol Arka Çamurluk; Sol Ön Kapı; Motor Kaputu","Sol Arka Kapı; Sol Ön Çamurluk",3,2
